epoka,srednia
1,2465357.8489201865
2,3.3975979792710853
3,2.809315425157651
4,2.809315425157651
5,2.809315425157651
6,2.481966374105143
7,1.8791397266852852
8,1.0479782486778522
9,1.0479782486778522
10,0.4922943670377693
11,0.4922943670377693
12,0.4922943670377693
13,0.4922943670377693
14,0.4922943670377693
15,0.4922943670377693
16,0.4922943670377693
17,0.4922943670377693
18,0.4922943670377693
19,0.4922943670377693
20,0.4922943670377693
epoka,odchylenie st
1,2465353.8630396533
2,0.5882825541134342
3,0.0
4,0.0
5,0.0
6,0.3273490510525079
7,0.27547759636735025
8,0.5556838816400828
9,0.5556838816400828
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
epoka,wartosc funkcji
1,[3.9858805333845195]
2,[2.809315425157651]
3,[2.809315425157651]
4,[2.809315425157651]
5,[2.809315425157651]
6,[2.1546173230526353]
7,[1.6036621303179348]
8,[0.4922943670377693]
9,[0.4922943670377693]
10,[0.4922943670377693]
11,[0.4922943670377693]
12,[0.4922943670377693]
13,[0.4922943670377693]
14,[0.4922943670377693]
15,[0.4922943670377693]
16,[0.4922943670377693]
17,[0.4922943670377693]
18,[0.4922943670377693]
19,[0.4922943670377693]
20,[0.4922943670377693]
